recordID,Resource Assignment,Edit_ResourceDetails,R1,R2,R3,R4,Assignments_T1,Assignments_T2,Assignments_T3,ImageFORMULA,Shared_RollUp_Rotation 1,Shared_RollUp_Rotation 2,Shared_RollUp_Rotation 3,Shared_RollUp_Rotation 4,Resource_Key,Sort_ID,Grade_Filter,Resource_Information_Text,Scope,Link 1 url,Link 2 url,Link 1 text,Link 2 text,Edit_ResourceAssignmentsURL(R1),Edit_ResourceAssignmentsURL(R2),Edit_ResourceAssignmentsURL(R3),Edit_ResourceAssignmentsURL(R4)
recreBCiddMnmZWlF,001.004.000*ESV Large Print Bible->New Testament: Grade 3,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recsZKTv4JyW3fDXQ,,,,R4,ESV Large Print Bible (Full Term - John),ESV Large Print Bible (Full Term - John),ESV Large Print Bible (Full Term - John),,"Old Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 2
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"ESV Large Print Bible
ISBN/ASIN 978-1433541537 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This large-print ESV Bible uses 12-point type for ease of reading

➜ May sub a translation of your choice.","Term 1
Term 2
Term 3",https://a.co/d/7eqiewO,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=541537,Option 1,Option 2,,,,
recVUCCq8xTSE2C8d,001.004.000*ESV Large Print Bible->New Testament: Grades 4-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recsZKTv4JyW3fDXQ,,,,R4,ESV Large Print Bible (Full Term - Matthew),ESV Large Print Bible (Full Term - Matthew),ESV Large Print Bible (Full Term - Matthew),,"Old Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 2
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3-6","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"ESV Large Print Bible
ISBN/ASIN 978-1433541537 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This large-print ESV Bible uses 12-point type for ease of reading

➜ May sub a translation of your choice.","Term 1
Term 2
Term 3",https://a.co/d/7eqiewO,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=541537,Option 1,Option 2,,,,
recoS3l0ZBikLsbo1,001.004.000*God's Bible Timeline: The Big Book of Biblical History->New Testament: Grade 3,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recMR6sOEfasLRFY5,,,,R4,God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"God's Bible Timeline: The Big Book of Biblical History by Linda Finlayson
ISBN/ASIN 978-1527105904 

➜ RATIONALE: Contains age-appropriate commentary on the eras of the Bible, along with detailed timelines, known dates, and a timeline poster. Lessons will refer to the timeline when reviewing stories and events. 

NOTE: 20% discount code available at the Option 1 link.
DISCOUNT: 20% with code ALVEARY","Term 1 (Selections)
Term 2 (Selections)
Term 3 (Selections)",https://www.christianfocus.com/en-us/product/9781527105904/gods-bible-timeline-hardback,https://smile.amazon.com/gp/product/1527105903/,Option 1,Option 2,,,,
recebXeFGNNHyL7oi,001.004.000*God's Bible Timeline: The Big Book of Biblical History->New Testament: Grades 4-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recMR6sOEfasLRFY5,,,,R4,God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),God's Bible Timeline: The Big Book of Biblical History (Selections),,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"God's Bible Timeline: The Big Book of Biblical History by Linda Finlayson
ISBN/ASIN 978-1527105904 

➜ RATIONALE: Contains age-appropriate commentary on the eras of the Bible, along with detailed timelines, known dates, and a timeline poster. Lessons will refer to the timeline when reviewing stories and events. 

NOTE: 20% discount code available at the Option 1 link.
DISCOUNT: 20% with code ALVEARY","Term 1 (Selections)
Term 2 (Selections)
Term 3 (Selections)",https://www.christianfocus.com/en-us/product/9781527105904/gods-bible-timeline-hardback,https://smile.amazon.com/gp/product/1527105903/,Option 1,Option 2,,,,
recH6oj7xUQXs8HzR,001.004.000*The Bible Story Handbook->New Testament: Grade 3,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recQoz4oedXQGF2Kt,,,,R4,The Bible Story Handbook,The Bible Story Handbook,The Bible Story Handbook,,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"The Bible Story Handbook by John and Kim Walton
ISBN/ASIN 978-1433506482 
Alternate Formats: Ebook

➜ RATIONALE: This teacher resource from Bible scholar John Walton and his wife, Kim, provides helpful background information for teaching the Bible. In a succinct manner, they offer the biblical context, interpretational issues, and mistakes to avoid for numerous Biblical passages.

NOTE: This is a teacher resource to be read before the lesson. At times, the lesson plans may highlight certain sections. We encourage teachers to preview the selections and choose what ideas to share or discuss with their students.","Term 1
Term 2
Term 3",https://smile.amazon.com/Bible-Story-Handbook-Resource-Teaching/dp/1433506483/,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=506482,Option 1,Option 2,,,,
recTeFANXmuRkqRGK,001.004.000*The Bible Story Handbook->New Testament: Grades 4-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recQoz4oedXQGF2Kt,,,,R4,The Bible Story Handbook,The Bible Story Handbook,The Bible Story Handbook,,"Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2","Old Testament: Grade 2
New Testament: Grade 2
Old Testament: Grades 3-6
New Testament: Grade 3
New Testament: Grades 4-6",001.004.000,.002.001.000,,"The Bible Story Handbook by John and Kim Walton
ISBN/ASIN 978-1433506482 
Alternate Formats: Ebook

➜ RATIONALE: This teacher resource from Bible scholar John Walton and his wife, Kim, provides helpful background information for teaching the Bible. In a succinct manner, they offer the biblical context, interpretational issues, and mistakes to avoid for numerous Biblical passages.

NOTE: This is a teacher resource to be read before the lesson. At times, the lesson plans may highlight certain sections. We encourage teachers to preview the selections and choose what ideas to share or discuss with their students.","Term 1
Term 2
Term 3",https://smile.amazon.com/Bible-Story-Handbook-Resource-Teaching/dp/1433506483/,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=506482,Option 1,Option 2,,,,
recG43KKHakoW6ofu,001.004.000*Gladys Aylward: The Little Woman->Missionary Biographies: Grades 3-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recUw0LF2RsCjTDO8,,,,R4,Gladys Aylward: The Little Woman (Full Term),,,,,,,"Bible Stories
Missionary Biographies: Grade 2
Missionary Biographies: Grades 3-6",001.004.000,.004.001.000,,"Gladys Aylward: The Little Woman by Gladys Aylward
ISBN/ASIN 978-0802429865 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This engaging missionary biography will inspire students as they read about Gladys Aylward's (1902-1970) willingness to be used by God to serve people in China. Students will also gain an understanding of the cultural and historical context of China during the early 20th century.",Term 1,https://smile.amazon.com/Gladys-Aylward-Little-Woman/dp/0802429866/,https://bookshop.org/a/90084/9780802429865,Option 1,Option 2,,,,
recche6N5oFeFkY2j,002.004.000*God's Smuggler (Young Reader's Edition)->Missionary Biographies: Grades 3-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=recq1CU25BWPLTBfO,,,,R4,,God's Smuggler (Young Reader's Edition) (Full Term),,,,,,,002.004.000,.004.002.000,,"God's Smuggler (Young Reader's Edition) by Brother Andrew
ISBN/ASIN 9780800798055 
Alternate Formats: Ebook, Audiobook

➜ RATIONALE: This young reader's edition depicts Brother Andrew's adventures from a boy in Holland to an adult transporting Bibles during the Cold War into communist countries where it is illegal to be a Christian. ",Term 2,https://www.rainbowresource.com/product/036205/Gods-Smuggler-Young-Readers-Edition.html?,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=798055,Option 1,Option 2,,,,
recH75X9FtF6VtuLi,003.004.000*Teresa of Calcutta->Missionary Biographies: Grades 3-6,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=rec2V0uV0ZVQLD5Tl,,,,R4,,,Teresa of Calcutta (Full Term),,,,,"Bible Stories
Missionary Biographies: Grade 2
Missionary Biographies: Grades 3-6",003.004.000,.004.003.000,,"Teresa of Calcutta by D. Jeanene Watson
ISBN/ASIN 978-0880620123 
Alternate Formats: Ebook

➜ RATIONALE: This missionary biography tells about the life of Mother Teresa (1910-1997) who dedicated her life to God and helping the poor in India.",Term 3,https://smile.amazon.com/Teresa-Calcutta-Serving-Poorest-Sower/dp/0880620129/,https://www.christianbook.com/Christian/Books/product?event=AFF&amp;p=1226126&amp;item_no=91421,Option 1,Option 2,,,,
recFF8emJKi8AZiNa,No Connection,https://airtable.com/app1aju9e3YhfQTXd/pag8BT9Kl6uQ8sdqh?e0DsR=allRecords&uNjQ2=,,,,, (Full Term - Whole Work),,,,,,,,001.004.000,000.000.000.000.001.000,,,Term 1,,,,,,,,
