recordID,Topic,Topic_ID,Course_List_R3,Course_ID_R3,Scheduling_R3,Grade_Filter,Grade_Text,Program_Description_R3,Combining&PlacementTips_R3,Subject,Resource_Assignments
recRJCbr7FFMfauFa,Bible Stories,004.001.001.001,Bible: Grade 1,004.001.001,4 times/week 20 min * 🅃,"G1,",GRADE(S): 1,"This course uses Bible stories to introduce children to the beauty and flow of Scripture.
","Those who wish to combine first graders and older students should choose either this course or any of the Bible courses for grades 2-6. Older students who are unfamiliar with Bible stories may wish to read these stories independently.
",Bible,001.001.000*Hurlbut's Story of the Bible->Bible Stories
recwdjPJ19zLtMKB3,Church History: Grades 1-3,004.001.001.003,"Bible: Grade 1, Bible: Grade 2, Bible: Grade 3","004.001.001, 004.002.001, 004.003.001",1 time/week 20 min * 🅃,"G1, G2, G3,",GRADE(S): 1-3,"Each year in elementary grades, students read biographies of influential people from church history. This course features the stories of Christians from Alveary's modern history rotation for the year (1800-1900). The selections in these grades are chosen for their accessibility for younger students to learn about the lives and ministries of great men and women of faith.
","Those who wish to combine students in Grades 1-3 with older students should choose either this course or the Church History for grades 4-6.
",Bible,
recrljhiradFqASjV,Old Testament: Grade 2,004.002.001.001,Bible: Grade 2,004.002.001,3 times/week 20 min * 🅃,"G2,",GRADE(S): 2,"When students are young, we want them to come to know God through his stories. In Grade 2, students read the stories directly from the Bible, which they were introduced to in Grade 1. Lesson plans also include occasional artwork illustrating the story read and suggested prep selections for teachers from resources such as the Bible Story Handbook, which provides biblical context, interpretational issues, and points out mistakes to avoid when reading specific Bible passages.
","Students in Grade 2 may take this course, which reads straight from the Bible or First Bible Stories. They may also combine with Grades 3-6 Bible if they are familiar with OT narratives.
",Bible,001.001.000*ESV Large Print Bible->Old Testament: Grade 2|001.001.000*God's Bible Timeline: The Big Book of Biblical History->Old Testament: Grade 2|001.001.000*The Bible Story Handbook->Old Testament: Grade 2
rec7Zd0pHZwZI01wm,New Testament: Grade 2,004.002.001.002,Bible: Grade 2,004.002.001,1 time/week 20 min * 🅃,"G2,",GRADE(S): 2,"New Testament events from the life of Christ are read throughout the year, with beautiful artwork and teacher helps periodically included in the lesson plans to enrich and give context to the stories covered.
",,Bible,001.001.000*ESV Large Print Bible->New Testament: Grade 2|001.001.000*God's Bible Timeline: The Big Book of Biblical History->New Testament: Grade 2|001.001.000*The Bible Story Handbook->New Testament: Grade 2
recj6cQqX6s5LfVuZ,Old Testament: Grades 3-6,004.003.001.001,"Bible: Grade 3, Bible: Grades 4-6","004.003.001, 004.004.001",2 times/week 20 min * 🅃,"G3, G4, G5, G6, G3, G4, G5, G6,",GRADE(S): 3-6,"Students in Grades 3-6 read Old Testament narratives chronologically. Lesson plans also include selections from maps and books such as Herein Is Love, which teachers can read or share with their students to help understand the biblical context and interpretational issues and point to the bigger picture of God's redemptive story.
","Suitable for older students if combining lessons, and ideal for older students just getting familiar with the Bible.
",Bible,"001.002.000*ESV Large Print Bible->Old Testament: Grades 3-6|001.001.000*The Student Bible Atlas, Revised Edition->Old Testament: Grades 3-6"
rec8fMADfpLzUlCnb,New Testament: Grades 3-6,004.003.001.002,"Bible: Grade 3, Bible: Grades 4-6","004.003.001, 004.004.001",2 times/week 20 min * 🅃,"G3, G4, G5, G6, G3, G4, G5, G6,",GRADE(S): 3-6,"Each year, students in Grades 3-6 read one of the gospels. Lesson plans include map work and assigned selections of The New Manners and Customs of Bible Times for teachers to read with their students before or after Bible reading to help give context and insight into the culture and geography of Israel during Jesus' life.
","Suitable for older students if combining lessons, and ideal for older students just getting familiar with the Bible.
",Bible,"001.002.000*ESV Large Print Bible->New Testament: Grades 3-6|001.001.000*The Student Bible Atlas, Revised Edition->New Testament: Grades 3-6"
recCOrbaUNGj2YrC8,Church History: Grades 4-6,004.004.001.003,Bible: Grades 4-6,004.004.001,1 time/week 20 min * 🅃,"G4, G5, G6,",GRADE(S): 4-6,"Each year in elementary grades, students read biographies of influential people from church history. This course features the stories of Christians from Alveary's modern history rotation for the year (1800-1900).
","Those who wish to combine students in Grades 4-6 with younger students should choose either this course or the Church History for grades 1-3. If you have a 6th grader, they could be combined with the 7-8 Church History course.
",Bible,
recJOkNvdiyWNEvhn,Old Testament: Grades 7-12,004.007.001.001,"Bible: Grades 7-8, Bible: Grade 9, Bible: Grades 10-11, Bible: Grade 12","004.007.001, 004.009.001, 004.010.001, 004.012.001","2 times/week 30 min * ⬔ (Grades 7-9)
2 times/week 30 min * ☐ (Grades 10-12)","G7, G8, G9, G10, G11, G12,",GRADE(S): 7-12,"From 7th grade through high school, students read through the OT chronologically. With the aid of study Bible notes and selections from study helps such as the Old Testament Today or The Bible Project, this course allows students to meditate on Scripture and engage with the historical and cultural context of the Bible when it was written, as well as the way the OT continues to be relevant as God's word today.
","Students in Grades 7-12 read the same passages of Scripture, but the lesson plans include a variety of discussion questions and extra study helps differentiated by grade to help students engage at various depths. This makes these lessons flexible for individual students and/or a multi-age context. Younger students in Grades 5-6 can be combined with older students if they have a good general understanding of the narratives and overarching story of the OT.
",Bible,"001.001.000*The Chronological Guide to the Bible->Old Testament: Grades 7-12|001.001.000*Old Testament Today->Old Testament: Grades 7-12|001.001.000*(Grades 9-12) NIV Cultural Backgrounds Study Bible: Bringing to Life the Ancient World of Scripture->Old Testament: Grades 7-12|001.001.000*(Grades 7-8) ESV Concise Study Bible->Old Testament: Grades 7-12|001.001.000*The Student Bible Atlas, Revised Edition->Old Testament: Grades 7-12"
recyfL7cWHbryaDo9,New Testament: Grades 7-8,004.007.001.002,Bible: Grades 7-8,004.007.001,1 time/week 30 min * ⬔,"G7, G8,",GRADE(S): 7-8,"Students read through a harmonized version of the gospels over the year. Additional study helps assigned in the lesson plans provide background information and context to help students begin to dive deeper into the life, ministry, and message of Jesus.
","Younger students in Grades 5-6 can be combined with older students if they have a good general understanding of the gospels. Ideal for HS students who are new to studying the Bible or unused to commentaries or discussions about cultural context or interpretive issues.
",Bible,"000.001.000*The Student Bible Atlas, Revised Edition->New Testament: Grades 7-8|001.001.000*The Chronological Guide to the Bible->New Testament: Grades 7-8|001.001.000*(Grades 7-8) ESV Concise Study Bible->New Testament: Grades 7-8"
recmJAn0Ul3F0VQyz,Church History: Grades 7-9,004.007.001.003,"Bible: Grades 7-8, Bible: Grade 9","004.007.001, 004.009.001",1 time/week 30 min * 🅃,"G7, G8, G9,",GRADE(S): 7-9,"Students read about important events and influential people from Church History using biographies and narrative-driven overviews of the time period. In this course, students delve into the 19th century and learn the stories of a variety of Christians.
","Can be combined with Grades 5-6.
",Bible,000.003.000*Ann Judson: A Missionary Life for Burma->Church History: Grades 7-9|001.003.000*Renewal: The Church That Expands Outward->Church History: Grades 7-9|002.003.000*Spurgeon: A Biography->Church History: Grades 7-9
recsV1leROEsZ73oW,Spiritual Formation: Grades 7-8,004.007.001.005,Bible: Grades 7-8,004.007.001,1 time/week 30 min * ⬔,"G7, G8,",GRADE(S): 7-8,"Spiritual formation courses help students think more deeply about various topics in the Christian life. In this course, students consider prayer and foundational disciplines such as Scripture reading, worship, journaling, serving, and more to encourage them in their faith.
","Also appropriate for HS students.
",Bible,001.003.000*Transformed by Truth->Spiritual Formation: Grades 7-8
recPETeM8GMwb8RZp,New Testament: Grade 9,004.009.001.002,Bible: Grade 9,004.009.001,1 time/week 30 min * ☐,"G9,",GRADE(S): 9,"Each year in High School, students read one of the gospels along with several other New Testament epistles. Using their study bibles and other resources, students encounter scripture and seek to understand the cultural, historical, and theological context of their readings in order to more deeply appreciate the richness of the Bible and the humility needed in order to live out God's word today.
","Appropriate for any HS grades. Students new to reading the Bible for themselves or unused to commentaries or study notes may find the lessons in Grades 7-8 a gentler introduction to these study practices.
",Bible,001.001.000*The Chronological Guide to the Bible->New Testament: Grade 9|001.001.000*(Grades 9-12) NIV Cultural Backgrounds Study Bible: Bringing to Life the Ancient World of Scripture->New Testament: Grade 9
